Home Team,Away Team,Result,Home Team Goals Scored,Away Team Goals Scored,Home Team Possession %,Away Team Possession %,Winning Team Possession Difference %,Home Team Off Target Shots,Away Team Off Target Shots,Home Team On Target Shots,Away Team On Target Shots,Home Team Total Shots,Away Team Total Shots,Home Away Teamlocked Shots,Away Team Blocked Shots,Home Team Corners,Away Team Corners,Home Team Throw Ins,Away Team Throw Ins,Home Team Pass Success %,Away Team Pass Success %,Home Team Clearances,Away Team Clearances,Home Team Fouls,Away Team Fouls,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Second Yellow Cards,Away Team Second Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Goals Conceeded,Away Team Goals Conceeded,year,Half Time Score,Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Aerials Won,Away Team Aerials Won
2,2,Tie,0,0,57,43,,7,4,2,4,9,10,0,2,5,6,20,21,77,66,22,27,12,20,2,3,0,0,0,0,0,0,2016,0-0,0-0,3,6.4,5.4,24,23
0,1,Home Team Win,3,0,50,50,0,4,5,15,3,24,12,5,4,5,7,15,28,81,80,18,22,12,6,2,0,0,0,0,1,0,3,2016,1-0,3-0,6.3,7.6,4.7,17,11
1,0,Away Team Win,0,1,64,36,-28,8,4,1,3,12,10,3,3,5,2,33,30,80,60,16,34,10,12,0,2,0,0,0,0,1,0,2016,0-1,0-1,3.2,4.5,7.8,17,25
0,1,Home Team Win,5,0,63,37,26,12,5,7,2,27,9,8,2,10,1,28,15,85,74,11,24,10,7,1,3,0,0,0,0,0,5,2016,1-0,5-0,6.6,9.2,4.3,17,15
1,0,Away Team Win,1,5,50,50,0,5,6,3,13,12,20,4,1,5,7,8,17,87,89,16,24,13,9,2,2,0,0,0,0,5,1,2016,0-2,1-5,7.2,4.4,8.9,7,10
2,2,Tie,1,1,37,63,,4,8,4,2,15,13,7,3,5,4,20,18,75,85,11,18,21,17,5,4,0,0,0,0,1,1,2016,1-0,1-1,4.5,6.4,6.7,17,16
0,1,Home Team Win,1,0,71,29,42,11,4,7,3,24,10,6,3,13,2,20,14,87,70,17,46,13,18,2,3,0,0,0,0,0,1,2016,0-0,1-0,4.4,6.6,5.3,20,8
2,2,Tie,1,1,56,44,,3,2,2,3,11,5,6,1,9,7,26,15,85,81,29,22,9,9,1,0,0,0,0,0,1,1,2016,0-0,1-1,4.9,5.7,7.2,24,16
2,2,Tie,0,0,37,63,,4,6,1,2,5,11,1,3,4,4,24,23,61,82,27,12,8,15,1,1,0,0,1,1,0,0,2016,0-0,0-0,2.2,6.2,5.9,17,26
1,0,Away Team Win,2,3,60,40,-20,5,4,3,4,15,9,7,1,4,3,37,25,81,67,19,48,11,9,1,2,0,0,0,0,3,2,2016,44593,2-3,7,5.5,6.2,30,26
